group,name
10000,
10001,
10010,
10011,NOŻYCE GILOT.GRUB.<=1MM
10012,NOŻYCE GILOT.GRUB.<=1MM
10023,PRZEC. TAŚM.STG 510.320G
10033,PIŁA TARCZOWA
10041,PRZECINAR. ŚCIERNA RPS-1
10051,PROSTOWARKA WML23/30/630
10130,
10141,
10151,
10211,FREZARKI KONWENCJONALNE
10220,KOORDYNATKA
10242,FREZARKA FNX30N (ZABAWKA)
10243,FREZARKA FNF50N (AVIA 3AXIS)
10244,FREZARKA DMC 63V
10245,FREZARKA DMU 70 (5 AXIS)
10246,CMX
10250,FREZARKA GROB G350a H
10270,PLOTER FREZUJĄCY
10272,FREZARKO-GRAWERKA CNC (KIMLA)
10300,STANOWISKO NARZĘDZIOWNI
10341,SZLIFIER. TAŚM. IM-415
10343,SZORST. DO PŁASZCZYZN
10345,SZORST. RĘCZNA BĘBNOWA
10350,URZĄDZENIE DO SZLIFOWANIA BLACHY
10371,WIERTARKI
10381,GWINCIARKI
10391,NITOWNICA RADIALNA RN101
10402,"PRASKA PN. 0,8T +MONTAŻ"
10405,PRASKA DO WCISKANIA PEM
10412,PRASA MIMOŚR. PMS-5
10413,"PRASA MIMOŚR. PMS-6,3"
10414,PRASA MIMOŚR. PMS-10
10415,PRASA MIMOŚR. PMS-16
10416,PRASA MIMOŚR. PMS-25
10421,"PRASA MIMOŚ. PMS-40, LEN40"
10422,PRASA MIMOŚR. PMS-63B
10423,PRASA MIMOŚR. PMS-100
10425,PRASA MIMOŚR. LE-160
10430,
10433,PRASA EHT
10440,
10512,
10516,
10543,
10545,
10552,
10600,
10611,STANOWISKO ŚLUSARSKIE
10615,MAWIJARKA SPRĘŻYN
10621,
10622,
10624,STAN. ŚLUS. MONT. ANTEN
10630,MONTOW. OSPRZĘTU ELEKTR.
10641,PIEC ELEKTR.PEK-2
10661,BĘBEN OBROTOWY U1  BP-1
10665,BĘBEN WIBRACYJNY RC 120
10666,PIASKARKA
10670,Szkiełkowanie
10840,DRUKARKA UV/ SITODRUK
10841,Grawerka Laserowa 50W
10843,STAN. ZAPUSZCZ.ZNAKÓW
10899,
10900,
10ZM4,
K-GALWAH,
K-ZM,
K-ZM-ELP,
K-ZM-GAL,
K-ZM-LAS,
K-ZM-MAM,
K-ZM-MAP,
K-ZM-ODL,
K-ZM-PIA,
K-ZM-WOD,
K-ZŁOC,
